cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season,class
7.51,b,s,n,f,,,k,10.72,13.27,,s,w,,,t,z,,d,w,p
14.98,f,d,n,f,d,c,y,6.72,38.07,,k,k,,,f,f,,d,a,p
6.76,f,w,e,f,x,,w,13.29,7.34,r,g,n,,,f,f,,d,u,p
4.92,x,d,n,t,d,c,w,5.74,8.18,,,e,,,f,f,,d,a,p
18.31,f,h,o,f,e,,w,19.29,18.94,s,y,w,u,w,t,p,,d,u,p
15.85,s,t,k,f,a,d,k,7.29,25.13,,,w,,,f,f,w,d,a,e
5.6,x,s,r,t,s,d,w,4.84,15.77,r,y,n,,,f,f,,d,a,p
3.01,b,y,n,f,,c,n,6.54,2.98,,,w,,,f,f,,d,s,e
5.82,b,d,n,f,d,c,y,4.91,6.52,,i,y,,,t,,,d,u,p
1.03,x,g,w,f,a,d,w,2.95,1.33,,,e,,,f,f,,l,u,p
4.99,s,k,n,f,p,,n,3.24,5.47,,k,n,,,t,f,,d,u,p
1.78,f,y,n,f,d,d,p,4.21,3.09,,i,n,,,f,f,,h,a,e
4.19,b,h,r,f,s,c,u,5.06,6.88,,y,w,,,t,e,u,g,a,p
53.46,o,y,y,f,p,,y,7.32,42.07,,k,n,,,f,f,,d,s,e
3.28,s,w,n,t,d,c,n,4.03,6.21,,,n,,,f,f,,d,a,p
7.12,x,i,n,f,e,c,p,5.14,14.41,,,w,,,t,r,,w,a,e
3.06,x,d,w,f,d,d,p,4.05,2.58,,h,w,,,f,f,,g,a,p
4.91,o,s,n,f,f,f,f,0.0,0.0,f,f,f,,,t,f,,d,u,p
9.43,s,t,p,t,d,c,o,5.4,17.4,,,w,,,f,f,,d,a,e
12.16,x,e,y,t,p,,o,10.54,32.91,,,e,,,f,f,,d,u,p
1.26,f,w,g,f,,d,g,5.22,2.35,,,w,,,f,f,,d,u,e
1.38,b,g,w,f,,,g,3.45,1.88,,,w,,,f,f,,d,s,e
6.37,s,d,n,t,d,c,n,7.31,8.78,,,n,,,f,f,,d,a,p
3.29,b,s,y,f,,c,y,8.09,6.92,,,y,u,w,t,z,k,d,a,p
11.13,s,,n,f,,,w,4.94,22.53,,,n,,,f,f,,d,a,e
7.76,s,d,n,t,d,c,y,6.57,10.03,,,n,,,f,f,,d,u,p
11.72,f,t,n,t,d,c,n,6.21,17.17,,,n,,,f,f,,d,a,p
7.59,x,,g,t,p,,g,10.65,24.01,,y,w,,,f,f,,d,a,e
4.24,x,t,n,f,d,,o,6.34,8.04,,t,o,,,f,f,,d,w,e
3.28,x,y,y,f,a,,w,5.3,3.44,,y,y,,,t,r,,g,u,p
5.52,f,k,n,f,p,,n,3.55,5.38,,k,n,,,t,f,,d,u,p
2.47,b,,g,f,a,,g,4.75,1.96,,s,n,,,f,f,,d,u,p
6.52,x,,p,f,,c,w,3.77,12.82,,,y,,,f,f,,d,a,p
13.42,f,,l,f,d,c,y,2.59,13.68,,,w,,,f,f,,d,w,e
